Report Month,YouTube Total Impressions,YouTube Sponsor Impressions,YouTube Custom Impressions,YouTube Sponsor Views,YouTube Custom Views,Total Contributions,Total Members,New Members,Webinar Attendees,Total Webinars,Podcast Downloads,Unique Listeners,LinkedIn Impressions,LinkedIn Engagements,LinkedIn Clicks,Instagram Views,Instagram Interactions
July 2025,1200000,107300,56500,8650,4850,23678,4398,402,86,4,5853,3119,8678,635,372,,
December 2025,4630000,629000,53000,57530,4390,45776,4527,402,127,8,5853,3700,19343,1581,806,,
January 2026,28200,27400,553,2200,28,45776,4527,402,127,8,3989,,13694,751,443,6115,59
