month,date_iso,date_source,channel,type,title,impressions,views,engagements,clicks,attendees,chat_count,email_sends,article_views,interactions,link,link_type,report_month,date_raw
2025-09,2025-09-30,youtube_publish,Youtube,Sponsored Video,State and Local Contracts: Complete Beginner's Guide for Small Business,11400,1100,,,,,,,,https://youtu.be/ps6HWsWywN4,direct,December 2025,
2025-10,2025-10-01,provided,LinkedIn,Sponsored Post,Only 3 days lef...,72,,4,2,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,1 Oct 2025
2025-10,2025-10-02,provided,LinkedIn,Sponsored Post,Just 2 Days Le...,127,,5,1,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,2 Oct 2025
2025-10,2025-10-02,provided,LinkedIn,Sponsored Post,Meet another...,422,,39,19,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,2 Oct 2025
2025-10,2025-10-03,provided,LinkedIn,Sponsored Post,Just 1 day left...,81,,6,2,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,3 Oct 2025
2025-10,2025-10-03,provided,LinkedIn,Sponsored Post,Meet another...,188,,9,3,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,3 Oct 2025
2025-10,2025-10-03,provided,LinkedIn,Sponsored Post,SWC 2025 is...,1261,,97,44,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,3 Oct 2025
2025-10,2025-10-06,provided,LinkedIn,Sponsored Post,If you missed...,3978,,157,,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,6 Oct 2025
2025-10,2025-10-07,provided,LinkedIn,Sponsored Post,The Scale With...,938,,252,176,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,7 Oct 2025
2025-10,2025-10-08,youtube_publish,Youtube,Sponsored Video,How Small Businesses Can Win Big in Defense — From the Navy's Former #2,11300,962,,,,,,,,https://youtu.be/cqXv5149F_Y,direct,December 2025,
2025-10,2025-10-14,provided,FHC,Webinar,,,,,,7,10,,,,https://federalhelpcenter.com/,platform,December 2025,14 Oct 2025
2025-10,2025-10-31,youtube_publish,Youtube,Sponsored Video,3 CEOs Share Exactly How to Scale in Government Contracting,14300,1200,,,,,,,,https://youtu.be/TJpV4f172vk,direct,December 2025,
2025-11,2025-11-09,youtube_publish,Youtube,Sponsored Video,$90K/Month City Pools – No Certifications (2025),2300,2500,,,,,,,,https://youtu.be/F-FfsZyySfw,direct,December 2025,
2025-12,2025-12-01,inferred_report_month,Podcast,Sponsored Episode,,5853,,,,,,,,,https://open.spotify.com/show/1XZCaN0VDP9zQSNYS1syoC,platform,December 2025,
2025-12,2025-12-01,inferred_report_month,Podcast,Ad Spot,,4234,4392,,,,,,,,https://podcasts.apple.com/us/podcast/govcon-giants/id1463074357,direct,December 2025,
2025-12,2025-12-10,provided,Youtube,Sponsored Video,95% of Gov Contracts Are HIDDEN — Here's Exactly Where They Are,15700,1600,,,,,,,,https://www.youtube.com/watch?v=EXy__EDQ2HQ,direct,December 2025,10 Dec 2025
2025-12,2025-12-22,provided,LinkedIn,Sponsored Post,Government Con...,403,,22,10,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,22 Dec 2025
2025-12,2025-12-23,provided,Instagram,Post,GovconGiants on In...,2845,,70,,,,,,70,https://www.instagram.com/govcongiants/,platform,December 2025,23 Dec 2025
2025-12,2025-12-23,provided,LinkedIn,Sponsored Post,Great partnershi...,298,,62,51,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,23 Dec 2025
2025-12,2025-12-26,provided,LinkedIn,Sponsored Post,Subcontracting i...,2829,,152,101,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,26 Dec 2025
2025-12,2025-12-28,provided,Youtube,Sponsored Video,The $100M Mistake Most 8(a) Businesses Make,8600,301,,,,,,,,https://www.youtube.com/watch?v=Wmp16jKt6l0,direct,December 2025,28 Dec 2025
2025-12,2025-12-30,provided,LinkedIn,Sponsored Post,Federal Contract...,8794,,101,,,,,,,https://www.linkedin.com/company/govcongiants,platform,December 2025,30 Dec 2025
2026-01,2026-01-05,provided,Youtube,Sponsored Video,The Line-Item Strategy That Quietly Wins Government Work,12300,1000,,,,,,,,https://www.youtube.com/watch?v=NzDsUAm0jw4,direct,January 2026,5 Jan 2026
2026-01,2026-01-06,provided,LinkedIn,Sponsored Post,Federal Contract...,1510,,70,1,,,,,,https://www.linkedin.com/company/govcongiants,platform,January 2026,6 Jan 2026
2026-01,2026-01-12,provided,LinkedIn,Sponsored Post,GovCon Contrac...,1927,,132,98,,,,,,https://www.linkedin.com/company/govcongiants,platform,January 2026,12 Jan 2026
2026-01,2026-01-12,provided,LinkedIn,Article,Why the Govern...,,,,,,6215,3902,,,https://www.linkedin.com/company/govcongiants,platform,January 2026,12 Jan 2026
2026-01,2026-01-12,provided,LinkedIn,Sponsored Post,You don't worry...,878,,38,38,,,,,,https://www.linkedin.com/company/govcongiants,platform,January 2026,12 Jan 2026
2026-01,2026-01-12,provided,Youtube,Sponsored Video,She Built a Government Contracting Business With Spare Change,15100,1200,,,,,,,,https://www.youtube.com/watch?v=bXpGIFNh3v8,direct,January 2026,12 Jan 2026
2026-01,2026-01-20,provided,Instagram,Post,GovconGiants on In...,2999,,33,,,,,,33,https://www.instagram.com/govcongiants/,platform,January 2026,20 Jan 2026
2026-01,2026-01-20,provided,LinkedIn,Sponsored Post,GovCon Contrac...,538,,23,14,,,,,,https://www.linkedin.com/company/govcongiants,platform,January 2026,20 Jan 2026
2026-01,2026-01-26,provided,Instagram,Post,GovconGiants on In...,3116,,26,,,,,,26,https://www.instagram.com/govcongiants/,platform,January 2026,26 Jan 2026
2026-01,2026-01-26,provided,LinkedIn,Sponsored Post,Most people talk...,1798,,91,51,,,,,,https://www.linkedin.com/company/govcongiants,platform,January 2026,26 Jan 2026
2026-01,2026-01-30,provided,LinkedIn,Sponsored Post,Federal Contract...,5116,,397,279,,,,,,https://www.linkedin.com/company/govcongiants,platform,January 2026,30 Jan 2026
